feature,gain
returned_after_first_session,156.2790954589844
total_sessions,96.94669647216797
total_events,5.871647834777832
active_days,4.890386438369751
unique_path_groups,4.804512453079224
low_value_event_count,4.803551816940308
canvas_action_count,4.706303310394287
median_session_length,4.540356206893921
events_per_session,4.463289451599121
median_session_duration_minutes,4.337863445281982
transition_entropy,4.317183589935302
cross_surface_transitions,4.190242290496826
mean_session_duration_minutes,4.153375053405762
credit_amount_sum,4.126689338684082
unique_event_types,4.062727451324463
productive_event_count,3.965556287765503
code_related_event_count,3.9487358570098876
value_signal_event_count,3.8076558113098145
tool_action_count,3.736000633239746
unique_surfaces,3.726002645492554
unique_tools,3.6228567600250243
dominant_action_group_code,3.584055995941162
mode_country_code_code,3.560313081741333
dominant_surface_group_code,3.259233522415161
mode_browser_code,3.25917272567749
mode_os_code,3.0426087379455566
deployment_value_action_count,2.918080472946167
mode_device_type_code,2.305829071998596
